store_path,path,arch,size,linked_dylib,seed_store_path,seed_path,seed_package,seed_arch
/nix/store/8c9l443182242z3xv6xc9smmpdd59fqr-q2pro-0-unstable-2025-07-21,bin/q2pro-unwrapped,arm64,1147328,/nix/store/hn58l3pvn5iwq87p6ddp9wsw8ai9dl93-ffmpeg-8.0-lib/lib/libavutil.60.dylib,/nix/store/hn58l3pvn5iwq87p6ddp9wsw8ai9dl93-ffmpeg-8.0-lib,lib/libavutil.60.8.100.dylib,ffmpeg-8.0-lib,arm64
/nix/store/8c9l443182242z3xv6xc9smmpdd59fqr-q2pro-0-unstable-2025-07-21,bin/q2pro-unwrapped,arm64,1147328,/nix/store/hn58l3pvn5iwq87p6ddp9wsw8ai9dl93-ffmpeg-8.0-lib/lib/libswresample.6.dylib,/nix/store/hn58l3pvn5iwq87p6ddp9wsw8ai9dl93-ffmpeg-8.0-lib,lib/libswresample.6.1.100.dylib,ffmpeg-8.0-lib,arm64
/nix/store/8c9l443182242z3xv6xc9smmpdd59fqr-q2pro-0-unstable-2025-07-21,bin/q2pro-unwrapped,arm64,1147328,/nix/store/hn58l3pvn5iwq87p6ddp9wsw8ai9dl93-ffmpeg-8.0-lib/lib/libswscale.9.dylib,/nix/store/hn58l3pvn5iwq87p6ddp9wsw8ai9dl93-ffmpeg-8.0-lib,lib/libswscale.9.1.100.dylib,ffmpeg-8.0-lib,arm64
/nix/store/avvx60y8i17wmzil3g1mg48nhb1j256z-contour-0.6.1.7494,Applications/contour.app/Contents/PlugIns/multimedia/libffmpegmediaplugin.dylib,arm64,876976,/nix/store/hn58l3pvn5iwq87p6ddp9wsw8ai9dl93-ffmpeg-8.0-lib/lib/libavformat.62.dylib,/nix/store/hn58l3pvn5iwq87p6ddp9wsw8ai9dl93-ffmpeg-8.0-lib,lib/libavformat.62.3.100.dylib,ffmpeg-8.0-lib,arm64
/nix/store/avvx60y8i17wmzil3g1mg48nhb1j256z-contour-0.6.1.7494,Applications/contour.app/Contents/PlugIns/multimedia/libffmpegmediaplugin.dylib,arm64,876976,/nix/store/hn58l3pvn5iwq87p6ddp9wsw8ai9dl93-ffmpeg-8.0-lib/lib/libavcodec.62.dylib,/nix/store/hn58l3pvn5iwq87p6ddp9wsw8ai9dl93-ffmpeg-8.0-lib,lib/libavcodec.62.11.100.dylib,ffmpeg-8.0-lib,arm64
/nix/store/avvx60y8i17wmzil3g1mg48nhb1j256z-contour-0.6.1.7494,Applications/contour.app/Contents/PlugIns/multimedia/libffmpegmediaplugin.dylib,arm64,876976,/nix/store/hn58l3pvn5iwq87p6ddp9wsw8ai9dl93-ffmpeg-8.0-lib/lib/libswresample.6.dylib,/nix/store/hn58l3pvn5iwq87p6ddp9wsw8ai9dl93-ffmpeg-8.0-lib,lib/libswresample.6.1.100.dylib,ffmpeg-8.0-lib,arm64
/nix/store/avvx60y8i17wmzil3g1mg48nhb1j256z-contour-0.6.1.7494,Applications/contour.app/Contents/PlugIns/multimedia/libffmpegmediaplugin.dylib,arm64,876976,/nix/store/hn58l3pvn5iwq87p6ddp9wsw8ai9dl93-ffmpeg-8.0-lib/lib/libswscale.9.dylib,/nix/store/hn58l3pvn5iwq87p6ddp9wsw8ai9dl93-ffmpeg-8.0-lib,lib/libswscale.9.1.100.dylib,ffmpeg-8.0-lib,arm64
/nix/store/avvx60y8i17wmzil3g1mg48nhb1j256z-contour-0.6.1.7494,Applications/contour.app/Contents/PlugIns/multimedia/libffmpegmediaplugin.dylib,arm64,876976,/nix/store/hn58l3pvn5iwq87p6ddp9wsw8ai9dl93-ffmpeg-8.0-lib/lib/libavutil.60.dylib,/nix/store/hn58l3pvn5iwq87p6ddp9wsw8ai9dl93-ffmpeg-8.0-lib,lib/libavutil.60.8.100.dylib,ffmpeg-8.0-lib,arm64
/nix/store/gyng0hsh1a5sgfvdy6ln2ja1wlc1jk15-scrcpy-3.3.4,bin/.scrcpy-wrapped,arm64,237136,/nix/store/hn58l3pvn5iwq87p6ddp9wsw8ai9dl93-ffmpeg-8.0-lib/lib/libavformat.62.dylib,/nix/store/hn58l3pvn5iwq87p6ddp9wsw8ai9dl93-ffmpeg-8.0-lib,lib/libavformat.62.3.100.dylib,ffmpeg-8.0-lib,arm64
/nix/store/gyng0hsh1a5sgfvdy6ln2ja1wlc1jk15-scrcpy-3.3.4,bin/.scrcpy-wrapped,arm64,237136,/nix/store/hn58l3pvn5iwq87p6ddp9wsw8ai9dl93-ffmpeg-8.0-lib/lib/libavcodec.62.dylib,/nix/store/hn58l3pvn5iwq87p6ddp9wsw8ai9dl93-ffmpeg-8.0-lib,lib/libavcodec.62.11.100.dylib,ffmpeg-8.0-lib,arm64
